Accession,Gene ID,Description,Taxonomy,Protein FDR Confidence: Combined,Missing values,Log10(S/N),# Unique Peptides,Resting_1,Resting_2,Activated_1,Activated_2,24h_Mock,24h_Pos,24h_Neg,48h_Mock,48h_Pos,48h_Neg
P33897,ABCD1,ATP-binding cassette sub-family D member 1 ,Homo sapiens ,High,0,2.85497367372642,2,92.1,90,70.9,58.2,56.8,71.5,64.6,47.6,92.6,71.8
Q9UBJ2,ABCD2,ATP-binding cassette sub-family D member 2 ,Homo sapiens ,High,0,3.51646926620378,5,648.4,705,224.3,217,201.8,246.7,215.1,227.3,334.2,264.7
P28288,ABCD3,ATP-binding cassette sub-family D member 3 ,Homo sapiens ,High,0,4.67088198101423,27,1809.8,1562.7,6380.8,6223.5,5363.3,6240.2,5112.3,4396.5,4756.8,5022.7
O14678,ABCD4,ATP-binding cassette sub-family D member 4 ,Homo sapiens ,High,0,3.25548959807554,3,109.7,112.8,173.1,205.7,175.1,253.5,179.1,184.3,218.6,189
P61221,ABCE1,ATP-binding cassette sub-family E member 1 ,Homo sapiens ,High,0,4.82462040049319,28,5186.7,5006.9,8071.3,7619.6,8318.2,6473.9,7747.3,6600.3,5312.5,6439.3
H0Y990,ABCE1,ATP-binding cassette sub-family E member 1 (Fragment) ,Homo sapiens ,Medium,0,2.89960165914612,3,66.8,71.4,94.1,110.6,99.3,71,79.4,78.5,75.9,46.6
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1 ,Homo sapiens ,High,0,4.81655745735588,31,5402.3,5630.3,6896.5,7325.5,7211.1,6389.4,7012.7,7694.9,6078.6,5906.4
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2 ,Homo sapiens ,High,0,4.92498444181097,34,3237.3,2887.2,10928.5,11168.5,10555.4,9072.2,10662.9,10487.7,6967.5,8169.3
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3 ,Homo sapiens ,High,0,4.45282565638422,26,2418.9,2251.4,3073.3,2811.4,3231.5,2660.2,3508,3101.9,2609.1,2702.1
Q9NUJ1,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial ",Homo sapiens ,High,0,4.42600021748089,15,4091.8,3901.5,2368.9,2332.1,2241.2,2796.3,2039.5,1926.2,2604.2,2366.9
Q8NFV4,ABHD11,Protein ABHD11 ,Homo sapiens ,High,0,3.9255492897313,6,699.2,646.9,930,978.6,807.6,1011.8,888.6,762.8,875.4,823.7
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12 ,Homo sapiens ,High,0,4.04560459199132,12,1281.2,1305.4,965.9,947,1009.3,1193.1,1020.4,1072.5,1195.4,1117
Q7L211,ABHD13,Protein ABHD13 ,Homo sapiens ,High,0,3.08891534660491,4,209.2,238,103.1,107.6,87,114.6,74.8,86.1,102.1,104.7
Q96IU4,ABHD14B,Protein ABHD14B ,Homo sapiens ,High,0,4.19367824915798,7,3843.2,3555.1,1230.3,1111.3,1070,818.5,1010.7,948.7,986.2,1045.9
Q6UXT9,ABHD15,Protein ABHD15 ,Homo sapiens ,High,0,3.55479190974205,4,236.8,217.2,288.4,259.4,358.4,447.5,396.3,381.9,515,486.6
O95870,ABHD16A,Protein ABHD16A ,Homo sapiens ,High,0,3.86573747567112,13,858.1,831.9,655.7,644.5,679.5,812.2,720.1,704.5,733.4,700.8
Q96GS6,ABHD17A,Protein ABHD17A ,Homo sapiens ,High,0,3.39680937255438,9,332.8,287.8,231.2,199.1,210.6,167,321.9,210.6,189.5,343
Q5VST6,ABHD17B,Protein ABHD17B ,Homo sapiens ,High,0,3.17649641153037,5,123.1,141.1,169.2,202,149.2,174.4,127.4,162.6,116.6,135.8
Q0P651,ABHD18,Protein ABHD18 ,Homo sapiens ,High,0,3.35206669080519,5,164.8,170.8,211.6,208.3,230.2,300.4,219.4,210.9,280,253
P08910,ABHD2,Monoacylglycerol lipase ABHD2 ,Homo sapiens ,Medium,0,2.70969386972779,1,85.7,95,42.8,36.5,59,52.1,42.6,33.5,33.4,31.9
Q8WU67,ABHD3,Phospholipase ABHD3 ,Homo sapiens ,High,0,3.21293299170801,3,173.6,186.4,165.2,170.7,149.7,199.3,121.6,110,213.7,142.6
Q9BV23,ABHD6,Monoacylglycerol lipase ABHD6 ,Homo sapiens ,High,0,3.36797058104339,4,171.5,182.8,220.9,250.9,197.7,272,240.5,238.9,337.5,220.6
Q8IZP0,ABI1,Abl interactor 1 ,Homo sapiens ,High,0,4.23819418986938,9,2611.3,2646.4,1389.4,1410.1,1513.3,1254.4,1559.4,1763.3,1554.6,1603.7
Q9NYB9,ABI2,Abl interactor 2 ,Homo sapiens ,High,0,3.1092409685882,2,120.4,126.6,83.9,95.8,109,96.1,140.6,197.3,158.4,157.9
Q9P2A4,ABI3,ABI gene family member 3 ,Homo sapiens ,High,0,3.68298396184578,10,558.9,528.1,425.6,376.4,526.3,471,434.5,424.4,532.5,541.6
P00519,ABL1,Tyrosine-protein kinase ABL1 ,Homo sapiens ,High,0,3.96493812711689,12,1098.1,1125.5,886.1,906.6,879.5,761.3,865.2,955.1,855.1,891.9
O14639,ABLIM1,Actin-binding LIM protein 1 ,Homo sapiens ,High,0,4.65460196129849,19,9768.1,9963.2,3690,3705.1,2628,3414.4,2945.1,2758,3572.5,2699.8
O14639-6,ABLIM1,Isoform 6 of Actin-binding LIM protein 1 ,Homo sapiens ,High,0,3.64560891690862,3,946.4,765.9,403.7,392.4,365.8,342.3,329.7,302.5,239.2,334
Q12979,ABR,Active breakpoint cluster region-related protein ,Homo sapiens ,High,0,4.33738537502507,18,3258.7,3639.9,1766.2,1824.1,1715.9,1523,1911.1,2189,2113.9,1804.5
Q9P1F3,ABRACL,Costars family protein ABRACL ,Homo sapiens ,High,0,3.90035620287169,5,1190.5,1215.6,690.9,779.2,1092.1,738.4,558.9,657.8,554.9,471.5
Q9ULW3,ABT1,Activator of basal transcription 1 ,Homo sapiens ,High,0,4.01431468311503,12,735.6,707.2,1264.6,1250.6,1155.4,1266,1069.6,910.6,1027.6,947.9
Q969K4,ABTB1,Ankyrin repeat and BTB/POZ domain-containing protein 1 ,Homo sapiens ,High,0,2.79344113297766,2,74.4,78.2,54.5,49.8,64.6,42.2,96.8,74.9,44.3,41.8
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal ",Homo sapiens ,High,0,4.08018619797699,14,1075.2,1056.1,971.7,1035.7,1127.8,1495.7,1147,1196.6,1484,1438
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial ",Homo sapiens ,High,0,4.55059765214601,21,5505.9,5276.5,2720.8,2690.1,2536,3359,2833.5,3021.9,4122.1,3464.4
Q13085,ACACA,Acetyl-CoA carboxylase 1 ,Homo sapiens ,High,0,4.97443108978154,79,4919.3,4433.4,10557.3,10259.6,11794.2,9758.8,11472.8,11742.8,9147.4,10196.9
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10 ,Homo sapiens ,High,0,3.91202001210825,14,842.2,751.6,717.5,653.8,680.1,848.7,811.9,753.1,1004.5,1102.8
Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.14457732082055,16,2546.3,2888.8,1133.3,1270.3,925.6,1131.6,1047.1,1034.1,1084.7,888.3
Q9H845,ACAD9,"Acyl-CoA dehydrogenase family member 9, mitochondrial ",Homo sapiens ,High,0,4.68133351514882,29,4175.8,3649.8,4795.9,4778,4526.9,5621.5,5015.1,4651.3,5638.2,5157.7
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.55992098164119,21,3888.9,3539.3,3081.7,3180.6,3079.6,4043.8,3402.9,3613,4635.4,3836
P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.58707533038005,16,8186.5,7668.2,3021.4,2990.9,2151.4,2871.2,2626.2,2553.5,3507.5,3066.6
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.3418122657034,17,2930.8,3137.1,1994.2,2238.1,1714.4,2190.4,1668.6,1666.6,2592.5,1836.4
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial ",Homo sapiens ,High,0,4.81194480294544,35,9666.9,8963.7,5080,4817.7,4950.2,5937,5352,5652,7223.3,7212.4
Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 ",Homo sapiens ,High,0,4.6889659064271,31,8847.3,9788.3,3428.2,3501.9,3647.1,3312.7,3548.4,4581.2,4057.2,4149.1
Q15057,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 ",Homo sapiens ,High,0,4.51116517937367,26,6044.1,6062.3,2688.4,2460.1,2466.9,1943.2,2750.1,2934.6,2443.7,2652.9
Q96P50,ACAP3,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 ",Homo sapiens ,High,0,3.1271372071915,3,151.6,152.3,148.2,133.9,134.5,102.8,124.5,150.4,117.7,124.2
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial ",Homo sapiens ,High,0,4.68701053056155,20,5720.2,5440.6,4531.2,4361.7,4209.1,5096.5,4303.7,4247.4,5546.5,5185
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic ",Homo sapiens ,High,0,4.3216874755217,18,2382,2141,1974.7,1798.8,2157,1936,2110.2,1902.3,2221.6,2350.7
Q9H3P7,ACBD3,Golgi resident protein GCP60 ,Homo sapiens ,High,0,4.2746773058127,15,1924.3,1874.5,1806,1819.2,1924.1,1735.5,2002.3,2160.5,1726.9,1849.2
Q8NC06,ACBD4,Acyl-CoA-binding domain-containing protein 4 ,Homo sapiens ,High,0,3.07957916697013,3,108,82.1,100.2,77.8,103,135.9,110.3,94.8,202.6,186.4
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5 ,Homo sapiens ,High,0,3.85740487281372,11,321.2,401.1,673.7,697.3,714.7,917,807.4,730.6,972.1,966.1
Q5T8D3-3,ACBD5,Isoform 3 of Acyl-CoA-binding domain-containing protein 5 ,Homo sapiens ,Medium,0,3.56548181859914,4,138.1,110.8,361.7,339.3,355.3,460.6,475.2,498.5,443.8,493.6
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6 ,Homo sapiens ,High,0,4.11889272537362,10,1018.6,993.7,1480.5,1526,1550.6,1184.4,1312.5,1437.6,1355.3,1289.8
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7 ,Homo sapiens ,High,0,2.49775871828727,2,19.3,14.3,10.1,12,27.3,27.3,26,70.5,58.2,49.6
Q96AP0,ACD,Adrenocortical dysplasia protein homolog ,Homo sapiens ,High,0,3.73758221937894,6,500.2,480,706,787.2,550.4,484.2,549.7,510.8,427.2,469.2
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus ,Homo sapiens ,High,0,4.98937505562453,55,10671,10321.6,9706.7,9858.6,9303,11660.9,8780,8420.1,10186.1,8675.2
P53396,ACLY,ATP-citrate synthase ,Homo sapiens ,High,0,5.1071108849169,56,6300.7,6058.1,14279.3,14829.3,15433.3,13890.5,14633.7,15158,13722.5,13665.4
P21399,ACO1,Cytoplasmic aconitate hydratase ,Homo sapiens ,High,0,4.59003332612407,29,5184.9,4887,3101.4,3125.3,3411.1,3190.3,3642,3973.3,4082.4,4309.8
Q99798,ACO2,"Aconitate hydratase, mitochondrial ",Homo sapiens ,High,0,4.97780634193495,42,17496.6,18554.1,9444.6,10106.5,6318.3,8710.7,6196.8,5321.6,6768.7,6100.2
Q86TX2,ACOT1,Acyl-coenzyme A thioesterase 1 ,Homo sapiens ,High,0,3.20284236519463,1,329.2,323.8,105.3,131.4,105.1,135.4,124.7,120.3,113.7,106.4
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13 ,Homo sapiens ,High,0,4.04657709896035,5,1458.7,1430.5,966,951.9,815.4,1117.8,909.2,898.5,1449.6,1134.5
P49753,ACOT2,"Acyl-coenzyme A thioesterase 2, mitochondrial ",Homo sapiens ,High,0,4.42105413068691,1,4874.6,4892.8,2102.7,2093,1870.1,2168.8,1985,2058.6,2252.2,2068.8
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase ,Homo sapiens ,High,0,4.4629098641089,15,787.7,769.9,2764.9,2753.7,3855,3225.1,3449.5,3995.9,3678.1,3754.4
O14734,ACOT8,Acyl-coenzyme A thioesterase 8 ,Homo sapiens ,High,0,3.81472692012139,5,557.2,486.3,633.5,579.6,619.8,662.2,670.1,582.5,919.1,816.9
Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial ",Homo sapiens ,High,0,4.40235597095137,18,2225.2,2063.5,2101.8,2075.4,2183.4,3032,2523.2,2134,3838.8,3078.2
Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1 ,Homo sapiens ,High,0,4.50025020073016,22,1283.7,1189,3112.1,3288.4,3153.4,4424.7,3555.4,3337.5,4210.7,4086.1
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3 ,Homo sapiens ,High,0,4.30970254380835,18,1489.3,1268.8,2107.4,2059.5,2116.9,2369.4,1961.7,1869,2448.9,2712.5
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase ,Homo sapiens ,High,0,4.49119635027055,14,3406.5,2866.6,3371.6,3217.9,3330.8,2371.6,3227.8,3290.3,2454,3451.1
P24666-2,ACP1,Isoform 2 of Low molecular weight phosphotyrosine protein phosphatase ,Homo sapiens ,High,0,2.27392678010053,1,38.1,35.3,16.8,13.9,14.4,12.7,11.9,16.8,16.8,11.2
P11117,ACP2,Lysosomal acid phosphatase ,Homo sapiens ,High,0,3.30877777366472,2,248,244.8,227,214.1,175.4,234.6,159.8,150.2,191.5,190.6
P13686,ACP5,Tartrate-resistant acid phosphatase type 5 ,Homo sapiens ,High,0,2.81941231120932,1,92.9,82.2,33.8,48.6,47.3,41.1,43.4,88.6,90.4,91.5
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6 ,Homo sapiens ,High,0,3.73639650227664,4,1032.2,967.8,438.3,406.2,335.2,431.7,423.8,382.9,561.4,470.5
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial ",Homo sapiens ,High,0,4.13266624990454,12,1809.4,2035.5,906.2,1018.5,887.9,1150.8,971.4,1351.8,1939.3,1501.9
Q4G176,ACSF3,"Acyl-CoA synthetase family member 3, mitochondrial ",Homo sapiens ,High,0,4.40439407021858,19,4354.9,4584.9,1996.9,2099.2,1764.6,2256.3,1858.2,1813,2617.5,2028.8
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1 ,Homo sapiens ,High,0,4.22904926200144,20,846.4,760.1,1727.4,1660.2,1854.1,2046.8,2051.8,1789.4,2134.5,2074.6
O95573,ACSL3,Long-chain-fatty-acid--CoA ligase 3 ,Homo sapiens ,High,0,4.36485667609044,22,1366.9,1247.1,2100,2148.9,2495.5,3195.9,2653.3,2439.1,2803.6,2716
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4 ,Homo sapiens ,High,0,4.7435285785223,29,1453.7,1154.8,6520.4,5990.7,6962.2,6136.3,6738,6244.1,6898.5,7303.7
Q9ULC5,ACSL5,Long-chain-fatty-acid--CoA ligase 5 ,Homo sapiens ,High,0,4.44890255812221,21,2841,2861.8,2570.2,2661.2,2517.2,3143.6,2819.5,2594,3217.1,2887.1
Q9UKU0,ACSL6,Long-chain-fatty-acid--CoA ligase 6 ,Homo sapiens ,High,0,3.16354896490181,4,224.1,182.6,151.4,155.9,122.7,171.7,126.2,78.1,106.6,138
Q53FZ2,ACSM3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial ",Homo sapiens ,High,0,4.060958338901,16,1005.4,965.1,960.6,897.7,947.1,1297,1126.6,954.7,1942.8,1409.9
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial ",Homo sapiens ,High,0,4.05641313458313,15,2010.8,2077.2,939.1,999.7,742.8,956.9,877.1,923.6,993.1,866.8
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic ",Homo sapiens ,High,0,3.89177711762772,10,832.1,847,565,567,663.2,616.2,741.7,992.7,1033.6,935.8
P60709,ACTB,"Actin, cytoplasmic 1 ",Homo sapiens ,High,0,5.80888215830725,1,93051.5,110137.7,52645.6,57751.7,55939.4,52569,49056.7,52950.7,58374,61518.2
Q562R1,ACTBL2,Beta-actin-like protein 2 ,Homo sapiens ,High,0,3.8224819137658,5,1058,1113.7,691.5,687.2,550.8,531.7,511.5,558,395.3,547.1
P68032,ACTC1,"Actin, alpha cardiac muscle 1 ",Homo sapiens ,High,0,4.7365877091253,9,7356.5,9143.1,3971.7,4832.8,3919.2,4559.9,4480.6,5525.4,5623.9,5110.9
K7EM38,ACTG1,"Actin, cytoplasmic 2 (Fragment) ",Homo sapiens ,High,0,3.06851980600091,3,94.2,73,98.1,109.2,158.5,92.9,158.7,213,70.5,102.8
P63261,ACTG1,"Actin, cytoplasmic 2 ",Homo sapiens ,High,0,2.83327463929056,1,11.4,6.9,62.3,70.2,117.4,54.1,102.1,143.3,33.4,80.1
O96019,ACTL6A,Actin-like protein 6A ,Homo sapiens ,High,0,4.63567571883821,19,3876.8,3877.7,4012.9,4048.8,4128,5034.8,4661.6,4450.3,4841.2,4287
P12814,ACTN1,Alpha-actinin-1 ,Homo sapiens ,High,0,4.91201203474172,35,17374.2,18598.5,6373.5,6173.1,5976.8,4965.1,5837.7,5804,5676.9,4880.7
O43707,ACTN4,Alpha-actinin-4 ,Homo sapiens ,High,0,5.2197508254901,37,22013.1,22431.8,14268.2,13806.7,15534.7,13854.2,15151.7,16202.8,16340.8,16259.5
Q9NZ32,ACTR10,Actin-related protein 10 ,Homo sapiens ,High,0,4.16777502304805,12,1692.7,1637.9,1422.1,1386,1451.3,1304.1,1448.5,1539.2,1369.1,1464.6
P61163,ACTR1A,Alpha-centractin ,Homo sapiens ,High,0,4.46053101710737,9,3588.5,3939.9,2458.5,2631.3,2678.7,2609.1,2551.8,2966.8,2918.4,2532.6
P42025,ACTR1B,Beta-centractin ,Homo sapiens ,High,0,3.68796571133843,5,786.5,664.3,400.9,364.7,404.2,419.4,457.7,388.1,482.6,506.5
P61160,ACTR2,Actin-related protein 2 ,Homo sapiens ,High,0,4.82326485659419,17,12417.2,12310.3,5331.5,5176.5,5448.9,4261.5,5198.8,5881.9,5001.1,5540.2
P61158,ACTR3,Actin-related protein 3 ,Homo sapiens ,High,0,4.87936257029904,27,14694.9,15079.7,6392.5,6298.2,6216.5,5003.5,4988.8,5697.4,5448,5927
Q9P1U1,ACTR3B,Actin-related protein 3B ,Homo sapiens ,High,0,3.65599273138562,6,972.5,925.9,402.1,415,349.4,282.7,300.4,297.1,261.2,322.6
Q9H9F9,ACTR5,Actin-related protein 5 ,Homo sapiens ,High,0,3.89961260392963,15,906.2,880.1,870,893.9,744.6,751.1,802.3,725.6,662.7,699.7
Q9GZN1,ACTR6,Actin-related protein 6 ,Homo sapiens ,High,0,4.24302315833451,14,1917,1791.2,1822.4,1698,1804.6,1835.1,1762.2,1595.3,1580,1693.6
Q9H981,ACTR8,Actin-related protein 8 ,Homo sapiens ,High,0,4.29495535860562,21,1675,1587.3,2414.5,2368.2,2295.6,2215,2149.6,1709.4,1551.4,1756.2
Q04771,ACVR1,Activin receptor type-1 ,Homo sapiens ,High,0,3.68549989909406,6,274.2,205.6,486.1,441,632,504.6,577.6,593.5,519,613.7
Q03154,ACY1,Aminoacylase-1 ,Homo sapiens ,High,0,4.29918249148043,15,848.4,845.3,1730.8,1770.8,2137.6,1889.8,2543.1,2890.9,2651.8,2606.6
P07311,ACYP1,Acylphosphatase-1 ,Homo sapiens ,High,0,3.65028809117677,6,484.6,510.5,408.5,477.3,387.1,406.8,391.3,478.2,486.1,439.4
